web-scraper-order,web-scraper-start-url,link,link-href,stock,year,make,model,style,cylinder,transmission,engine,drive train,fuel type,vin,mileage,color,color 2,internet price,photo urls,doors,Vehicle Type,description,trim,certified,condition,Make and Model
1654596683-14211,https://www.wrightsautoemporia.com/,2006 GMC Sierra 1500 Work Truck,https://www.wrightsautoemporia.com/Listing/314092/2006-GMC-Sierra-1500-Work-Truck.aspx,9137,2006,GMC,Sierra 1500,Pickup,,,V6 Cylinder Engine,null,Gasoline Fuel,3GTEC14X66G160611,214000,Summit White,Pewter,"$5,995",[],2,Pickup,null,,,null,Year
1654596696-14241,https://www.wrightsautoemporia.com/,2006 Kia Sportage LX,https://www.wrightsautoemporia.com/Listing/318770/2006-Kia-Sportage-LX.aspx,9124,2006,Kia,Sportage,Wagon 4 Dr.,,,4 Cylinder Engine,null,Gasoline Fuel,KNDJE724967292925,165000,Smart Blue,Black,"$4,495","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318770/Thumb/12022143115841977.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318770/Thumb/22022143115841993.jpg""}]",4,Wagon 4 Dr.,null,,,null,Make
1654596688-14220,https://www.wrightsautoemporia.com/,2008 Chevrolet TrailBlazer Fleet w/2FL,https://www.wrightsautoemporia.com/Listing/317356/2008-Chevrolet-TrailBlazer-Fleet-w2FL.aspx,9150,2008,Chevrolet,TrailBlazer,Wagon 4 Dr.,,Automatic,Straight 6 Cylinder Engine,null,Gasoline Fuel,1GNDS13S582218845,117997,Summit White,Light gray/dark gray,"$6,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/3202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/4202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/5202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/1202214311523075.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/2202214311523075.jpg""}]",4,Wagon 4 Dr.,null,,,null,
1654596699-14244,https://www.wrightsautoemporia.com/,2009 Ford Expedition EL SSV,https://www.wrightsautoemporia.com/Listing/318771/2009-Ford-Expedition-EL-SSV.aspx,9176,2009,Ford,Expedition EL,Wagon 4 Dr.,,Automatic,8 Cylinder Engine,null,Gasoline Fuel,1FMFK16599LA08425,167131,Oxford White,Stone,"$9,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/1202214312138222.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/2202214312138237.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/3202214312138237.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/4202214312138253.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/5202214312138253.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/6202214312138269.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/7202214312138269.jpg""}]",4,Wagon 4 Dr.,null,,,null,
1654596690-14227,https://www.wrightsautoemporia.com/,2008 Ford Expedition SSV,https://www.wrightsautoemporia.com/Listing/318764/2008-Ford-Expedition-SSV.aspx,8892,2008,Ford,Expedition,Wagon 4 Dr.,,,8 Cylinder Engine,null,Gasoline Fuel,1FMFU16598LA33172,204000,Gray,Charcoal Black/Tan,"$4,995",[],4,Wagon 4 Dr.,null,,,null,Type
1654596693-14233,https://www.wrightsautoemporia.com/,2014 Ford Flex Limited,https://www.wrightsautoemporia.com/Listing/318765/2014-Ford-Flex-Limited.aspx,9178,2014,Ford,Flex,Wagon 4 Dr.,,,V6 Cylinder Engine,null,Gasoline Fuel,2FMHK6D88EBD18725,110800,Mineral Gray Metallic,Dune,"$18,595","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/12022143114943705.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/22022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/32022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/42022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/52022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/62022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/72022143114943752.jpg""}]",4,Wagon 4 Dr.,null,,,null,Type
1654596677-14202,https://www.wrightsautoemporia.com/,2002 Volvo C70,https://www.wrightsautoemporia.com/Listing/300782/2002-Volvo-C70.aspx,8893,2002,Volvo,C70,Convertible,,,5 Cylinder Engine,null,Gasoline Fuel,YV1NC56D32J029245,108000,Silver Metallic,Gray,"$5,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/22021257114513406.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/32021257114513406.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/42021257114513422.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/52021257114513437.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/300782/Thumb/12021257114513375.jpg""}]",2,Convertible,null,,,null,Year
1654596688-14224,https://www.wrightsautoemporia.com/,2008 Chevrolet TrailBlazer Fleet w/2FL,https://www.wrightsautoemporia.com/Listing/317356/2008-Chevrolet-TrailBlazer-Fleet-w2FL.aspx,9150,2008,Chevrolet,TrailBlazer,Wagon 4 Dr.,,,Straight 6 Cylinder Engine,null,Gasoline Fuel,1GNDS13S582218845,117997,Summit White,Light gray/dark gray,"$6,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/3202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/4202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/5202214311523091.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/1202214311523075.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/317356/Thumb/2202214311523075.jpg""}]",4,Wagon 4 Dr.,null,,,null,Model
1654596699-14247,https://www.wrightsautoemporia.com/,2009 Ford Expedition EL SSV,https://www.wrightsautoemporia.com/Listing/318771/2009-Ford-Expedition-EL-SSV.aspx,9176,2009,Ford,Expedition EL,Wagon 4 Dr.,,,8 Cylinder Engine,null,Gasoline Fuel,1FMFK16599LA08425,167131,Oxford White,Stone,"$9,995","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/1202214312138222.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/2202214312138237.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/3202214312138237.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/4202214312138253.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/5202214312138253.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/6202214312138269.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318771/Thumb/7202214312138269.jpg""}]",4,Wagon 4 Dr.,null,,,null,Make
1654596693-14234,https://www.wrightsautoemporia.com/,2014 Ford Flex Limited,https://www.wrightsautoemporia.com/Listing/318765/2014-Ford-Flex-Limited.aspx,9178,2014,Ford,Flex,Wagon 4 Dr.,,,V6 Cylinder Engine,null,Gasoline Fuel,2FMHK6D88EBD18725,110800,Mineral Gray Metallic,Dune,"$18,595","[{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/12022143114943705.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/22022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/32022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/42022143114943737.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/52022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/62022143114943752.jpg""},{""photo urls"":"""",""photo urls-src"":""https://www.totalwebmanager.com/TWM/Images/1194/318765/Thumb/72022143114943752.jpg""}]",4,Wagon 4 Dr.,null,,,null,Year
